,Reaction ID,Name,Reaction String,Reference
21,PPYRDC,phenylpyruvate decarboxylase,h_c + phpyr_c --> co2_c + pacald_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'PPYRDC', 'biocyc': 'META:PHENYLPYRUVATE-DECARBOXYLASE-RXN', 'ec-code': '4.1.1.43', 'kegg.reaction': 'R01377', 'origin': 'iMA789', 'subsystem': 'Amino acid metabolism', 'metanetx.reaction': ['MNXR125761', 'MNXR138719'], 'pathway': 'Phenylalanine metabolism'}"
22,ETHAAL,Ethanolamine ammonia-lyase,etha_c --> acald_c + nh4_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'ETHAAL', 'ec-code': '4.3.1.7', 'kegg.reaction': 'R00749', 'origin': 'iMK1208', 'rhea': '15316', 'subsystem': 'Lipid metabolism', 'metanetx.reaction': 'MNXR97968', 'pathway': 'Glycerophospholipid metabolism'}"
23,PHYCBOXL,L-Phenylalanine carboxy-lyase,h_c + phe__L_c --> co2_c + peamn_c,"{'sbo': 'SBO:0000176', 'bigg.reaction': 'PHYCBOXL', 'biocyc': 'META:PHENYLALANINE-DECARBOXYLASE-RXN', 'ec-code': '4.1.1.53', 'kegg.reaction': 'R00699', 'origin': 'iMK1208', 'rhea': '19720', 'subsystem': 'Amino acid metabolism', 'metanetx.reaction': 'MNXR102650', 'pathway': 'Phenylalanine metabolism'}"
24,ALLTNt2r,allantoin transport in via proton symport,alltn_e + h_e <=> alltn_c + h_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'ALLTNt2r', 'origin': 'iMK1208', 'subsystem': 'Membrane transport', 'metanetx.reaction': 'MNXR95770'}"
25,GAMpts,D-glucosamine transport via PEP:PTS,gam_e + pep_c --> gam6p_c + pyr_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'GAMpts', 'ec-code': '2.7.1.69', 'origin': 'iMA789', 'subsystem': 'Membrane transport', 'metanetx.reaction': 'MNXR100034'}"
26,SALCpts,salicin transport via PEP:Pyr PTS,pep_c + salcn_e --> pyr_c + salcn6p_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'SALCpts', 'origin': 'iMK1208', 'subsystem': 'Membrane transport', 'metanetx.reaction': 'MNXR104266'}"
27,ARGAGMt7,Arginine/agmatine antiport,agm_c + arg__L_e <=> agm_e + arg__L_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'ARGAGMt7', 'origin': 'iMK1208', 'subsystem': 'Membrane transport'}"
28,ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,acgam_e + pep_c --> acgam6p_c + pyr_c,"{'sbo': 'SBO:0000655', 'bigg.reaction': 'ACGApts', 'origin': 'iMK1208', 'subsystem': 'Membrane transport', 'metanetx.reaction': 'MNXR95253', 'doi': ['10.1128/JB.185.23.7019-7023.2003', '10.1111/j.1365-2958.2009.07020.x']}"
29,ARGDC,Arginine decarboxylase,arg__L_c + h_c --> agm_c + co2_c,"{'rhea': ['17641', '17642', '17643', '17644'], 'ec-code': '4.1.1.19', 'biocyc': 'META:ARGDECARBOX-RXN', 'metanetx.reaction': 'MNXR95940', 'reactome': ['R-ATH-350598', 'R-BTA-350598', 'R-CEL-350598', 'R-CFA-350598', 'R-DDI-350598', 'R-DME-350598', 'R-GGA-350598', 'R-HSA-350598', 'R-MMU-350598', 'R-OSA-350598', 'R-PFA-350598', 'R-RNO-350598', 'R-SCE-350598', 'R-SPO-350598', 'R-SSC-350598', 'R-TGU-350598', 'R-XTR-350598'], 'kegg.reaction': 'R00566', 'seed.reaction': 'rxn00405'}"
30,DHPS2_2,,4abz_c + 6hmhpt_c --> dhpt_c + ppi_c,{}
31,NRRH,,h2o_c + nicrns_c --> h_c + ncam_c + rib__D_c,{}
32,CPS_1,,atp_c + h_c + hco3_c + nh4_c --> adp_c + cbp_c + pi_c,{}
33,SRK,Serine kinase,3php_c + atp_c --> adp_c + h_c + pser__L_c,{}
34,GLY3Pt2,Glycerol 3 phosphate transport in via proton symport,glyc3p_e + h_e --> glyc3p_c + h_c,"{'metanetx.reaction': 'MNXR100309', 'seed.reaction': 'rxn05578'}"
35,NP1_2,,nicrns_c + pi_c --> h_c + ncam_c + r1p_c,{}
36,SDPDS_2,,h2o_c + sl2a6o_c --> 26dap_LL_c + succ_c,{}
37,r1891,Y+LAT2 Utilized transport,hom__L_e + leu__L_c + na1_e --> hom__L_c + leu__L_e + na1_c,{'metanetx.reaction': 'MNXR105803'}
38,THDPS_2,,h2o_c + succoa_c + thdp_c --> coa_c + sl26da_c,{}
39,GLYC3tr,Transport of Glycerophosphoric Acid,glyc3p_e --> glyc3p_c,{}
40,HOMt4,L-homoserine via sodium symport,hom__L_e + na1_e --> hom__L_c + na1_c,{'metanetx.reaction': 'MNXR100677'}
41,OCBT2i,Ornithine carbamoyltransferase  catabolic,citr__L_c + h_c + pi_c --> cbp_c + orn_c,{}
42,HMR_9726,5-Formyltetrahydrofolate:L-Glutamate N-Formiminotransferase,5fthf_c + glu__L_c --> forglu_c + thf_c,{}
