PG.ProteinGroups	PG.ProteinDescriptions	[1] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_10.raw.PG.Quantity	[2] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_11.raw.PG.Quantity	[3] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_12.raw.PG.Quantity	[4] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_13.raw.PG.Quantity	[5] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_14.raw.PG.Quantity	[6] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_15.raw.PG.Quantity	[7] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_16.raw.PG.Quantity	[8] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_17.raw.PG.Quantity	[9] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_18.raw.PG.Quantity	[10] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_19.raw.PG.Quantity	[11] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_20.raw.PG.Quantity	[12] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_21.raw.PG.Quantity	[13] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_22.raw.PG.Quantity	[14] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_23.raw.PG.Quantity	[15] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_24.raw.PG.Quantity	[16] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_25.raw.PG.Quantity	[17] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_26.raw.PG.Quantity	[18] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_27.raw.PG.Quantity	[19] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_37.raw.PG.Quantity	[20] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_38.raw.PG.Quantity	[21] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_39.raw.PG.Quantity	[22] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_40.raw.PG.Quantity	[23] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_41.raw.PG.Quantity	[24] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_42.raw.PG.Quantity	[25] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_43.raw.PG.Quantity	[26] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_44.raw.PG.Quantity	[27] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_45.raw.PG.Quantity	[28] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_49.raw.PG.Quantity	[29] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_50.raw.PG.Quantity	[30] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_51.raw.PG.Quantity	[31] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_52.raw.PG.Quantity	[32] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_53.raw.PG.Quantity
A0A0B5EGF0	Acetyl-CoA acetyltransferase	35696.2265625	24336.0234375	63501.08984375	91006.6640625	67880.4296875	43494.75	66612.8125	55333.82421875	91620.2890625	71319.3359375	84403.1953125	67448.796875	88129.1484375	79994.6953125	133240.0625	96482.1015625	106989.3828125	76132.5703125	69029.921875	129945.6640625	9.467438697814941	108494.78125	93406.171875	83523.875	68860.0546875	56166.4375	99639.6640625	97676.65625	83332.8671875	120769.5703125	90546.7265625	93769.2109375
A0A0B5EGF5	Transcriptional regulator	3855.716064453125	1450.781494140625	11022.2841796875	17663.630859375	22055.751953125	23466.888671875	7075.92919921875	17138.142578125	12778.2548828125	6869.20947265625	17362.767578125	3982.834228515625	18435.990234375	14696.931640625	39288.31640625	Filtered	5753.2890625	14036.29296875	50360.16796875	Filtered	Filtered	30136.60546875	42659.8046875	13914.5390625	25420.9140625	24760.681640625	35099.26171875	25288.435546875	17870.001953125	19911.02734375	9879.052734375	10261.51953125
A0A0B5EGG5	UDP-N-acetylglucosamine transferase	393803.375	284731.625	342023.75	47603.73046875	35688.046875	30101.115234375	26985.677734375	45503.5625	35119.04296875	267224.71875	251342.375	229473.59375	31467.498046875	34050.828125	54955.671875	91036.984375	14208.58984375	66956.7578125	324017.96875	303182.34375	240121.140625	39957.9453125	43894.203125	24335.59375	26421.287109375	20677.404296875	42780.109375	21230.80859375	11731.85546875	32448.712890625	40561.35546875	10983.4208984375
A0A0B5EGH1	Acyl-CoA synthetase/AMP-acid ligase	303384.71875	398292.90625	697587	47286.546875	36420.75	24980.796875	56448.51953125	37006.1640625	284769.34375	237490.90625	185725.8125	185173.59375	55650.41015625	61731.484375	91558.265625	560094.625	472141.53125	458531.71875	617950.0625	1015008.0625	1347340.75	85184.7421875	155193.3125	190603.828125	737653.0625	83643.328125	54809.1875	127461.65625	74244.4609375	64733.68359375	688465.4375	470569.5625
A0A0B5EGR8	Nodulation ABC transporter NodI	96641.8359375	91700.0234375	87631.078125	74438.1953125	105781.1171875	68365.234375	1258.1419677734375	4236.57421875	NaN	41044.296875	41210.8046875	3906.475830078125	79460.2734375	158329.515625	75003.734375	69509.0390625	Filtered	39874.1171875	60023.08984375	131705.640625	139738.046875	7443.00927734375	3587.736572265625	10410.0849609375	6759.77880859375	10291.740234375	5933.3154296875	20555.669921875	15585.5986328125	5296.99267578125	198.007080078125	8979.6279296875
A0A0B5EGV8	Xylose isomerase	248592.125	298384.875	347147.4375	116154.125	70503	49892.55859375	134590.484375	87593.0859375	71440.21875	206599.34375	321280.09375	159347.9375	112030.171875	81878.484375	122396.9765625	103375.9375	194876.296875	35089.328125	687573.1875	1496801.125	1201448.5	97918.6875	81540.8359375	328625.3125	396288.125	324439.59375	361926.59375	133461.296875	98763.2109375	334748.5625	316304.625	245782.234375
A0A0B5EH14;A0A0B5EII1;A0A0B5EQ68;A0A0B5EY37	Polyketide synthase type I;Polyketide synthase type I;Polyketide synthase type I;Type I modular polyketide synthase	Filtered	4112.54736328125	Filtered	Filtered	29218.666015625	79693.859375	14731.6611328125	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	116238.828125	Filtered	NaN	Filtered	Filtered	Filtered	Filtered	19274.029296875	Filtered	Filtered	Filtered	2605.644775390625	40532.05859375	Filtered	Filtered	4849.94677734375	Filtered
A0A0B5EH35	Integral membrane protein	15721.994140625	21028.017578125	Filtered	6009.6640625	NaN	3689.222412109375	8697.9345703125	Filtered	433074.125	38077.30859375	4820.51953125	4111.12646484375	17505.83984375	18319.32421875	28019.298828125	Filtered	33819.1796875	42215.5625	2.218065023422241	6.118928909301758	Filtered	55585.34765625	24799.767578125	2.590947389602661	Filtered	NaN	3165.684814453125	138764	114555.1171875	2054.231201171875	Filtered	Filtered
A0A0B5EH56	Putative signal transduction protein with EFhand domain	10434.6318359375	Filtered	Filtered	72244.1328125	42238.50390625	104017.8515625	365617.875	370961.625	394990.21875	4657.25439453125	8904.1982421875	Filtered	29833.302734375	71391.8359375	54534	61342.69921875	214827.4375	95060.953125	Filtered	Filtered	Filtered	64827.81640625	Filtered	28258.32421875	19659.65625	64405.61328125	381486.71875	47136.30859375	30834.6875	106099.6640625	92620.65625	194806.34375
A0A0B5EH81	Glycerophosphoryl diester phosphodiesterase	700565.25	359506.03125	357050.96875	114073.6875	100677.3125	247461.34375	257543.84375	295237.21875	120247.53125	465924.03125	403994.75	437335.46875	204146.015625	200168.65625	96251.1875	267205.71875	47476.33203125	172018.90625	602169.3125	831443.8125	320034.78125	118305.8203125	84731.625	174097.40625	110844.734375	239541.5625	247004.515625	221041.15625	171165.09375	172040.03125	133543.984375	228713.265625
A0A0B5EHJ3	Regulatory protein TetR	53626.30859375	60378.3125	41517.640625	125277.0703125	104205.90625	133768.0625	131038.921875	136716.40625	137131.296875	68058.2578125	66206.203125	42338.78125	75536.125	70994.8828125	136886.765625	217128.34375	208849.25	201110.046875	119308.3046875	181908.390625	78259.078125	245693.265625	355949.1875	105891.7265625	111412.953125	153703.375	153607.015625	228783.359375	273902	163107.453125	144285.734375	179808.53125
A0A0B5EHJ7	Acyl-CoA dehydrogenase	209879.875	53244.89453125	45400.4921875	4808.8046875	Filtered	1312.3343505859375	Filtered	Filtered	Filtered	46507.40234375	47170.25390625	34487.203125	Filtered	Filtered	1298.9970703125	14062.015625	Filtered	Filtered	284954.0625	Filtered	95.10295104980469	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	91233.9609375	Filtered	26876.08203125	Filtered	53038.70703125
A0A0B5EHN2	Lactamase_B domain-containing protein	178734.3125	218010.734375	145253.890625	310386.8125	218422.625	460449.40625	361753.90625	304943.90625	380663.5625	208650.515625	146608.203125	147895.40625	282808.625	184163.09375	250817.515625	578465.625	611103.6875	360489.21875	79857.9375	84262.0703125	66575.0546875	1157713.375	1808191.375	814428.375	766151.625	814951.3125	318379	967886.25	1018101.1875	620666	842879.6875	634914.125
A0A0B5EHQ7;A0A0B5EZN8	Putative aminotransferase, class I;Aminotransferase	295534.84375	286952.25	273526.5	53190.34375	91038.96875	46068.4921875	104021.2421875	115986.265625	69077.515625	291635.34375	238141.96875	249833.484375	72802.90625	98467.609375	70973.59375	82304.7734375	124397.2109375	70187.109375	314576.90625	371694.09375	382875.5	62125.2734375	19334.76171875	130862.8203125	94330.1484375	101977.5234375	167391.046875	119475.6875	95222.03125	161064.6875	170114.671875	137074.8125
A0A0B5EHR5	Glutamate dehydrogenase	867802.875	771719.8125	925936.1875	92020.921875	85756.640625	60989.70703125	14729.0595703125	10298.2568359375	17104.302734375	565835.75	391241.1875	507384.5	76119.4609375	80535.4140625	56132.37890625	21131.708984375	28521.640625	49843.3125	1107917.875	2327544.5	1985483.25	83357.453125	95228.3515625	144689.3125	138831.8125	143331.078125	90775.578125	55147.40234375	58209.35546875	104610.6796875	131840.953125	120796.4453125
A0A0B5EHU4	Putative two-component system response regulator	163884.484375	235415.59375	262956.875	301523.5625	276753.65625	232779.234375	465346.625	397151.21875	500161.96875	133943.3125	121763.0078125	76578.921875	175148.03125	172457.171875	301173.90625	241222.703125	407239.71875	223878.421875	130812.796875	532294.5625	527235.125	310232.40625	424938.03125	413680.34375	304970.4375	393977.625	256344.1875	524182.0625	490840.4375	444950.03125	355398.78125	443225.78125
A0A0B5EHV5	Aminotransferase AlaT	403263.875	704253.6875	904976.875	318606.03125	145709.515625	136501	86277.3125	99769.1953125	72003.984375	323208.53125	301015.0625	234945.671875	208717.75	139124.671875	323441.28125	71527.2734375	91939.4765625	178721.359375	1110279.25	1921050.125	1863381.25	473923.34375	427227.59375	875534	745502.1875	656510.125	137638.90625	256425.171875	323077.4375	595294.3125	537692.5625	427607.53125
A0A0B5EHV6	Histidine kinase	713463.1875	872443.1875	1001816.5	253499.765625	134365.234375	37142.9453125	133987.734375	106338.140625	190535.234375	764959.4375	774789.25	680926.9375	7797.4248046875	25331.537109375	20890.92578125	92663.0546875	133738.28125	396502.96875	870617.9375	2026448	1990568.625	74266.03125	545543.625	142790	226657.546875	160837.265625	278696.875	48744.8125	104197.875	123713.2890625	267729.6875	176867.03125
A0A0B5EHV9	DNA-binding protein	190745.515625	135136.671875	98646.3125	26477.474609375	70098.875	89739.6015625	270825.78125	229186.3125	352468.71875	112400.515625	84016.234375	86504.59375	63264.046875	92033	19219.541015625	691942	392038.28125	339069.28125	218843.859375	130795.359375	155924.796875	29175.748046875	100366.1171875	132501.53125	120351.5234375	211304.484375	274011.6875	85980.3671875	133552.9375	228611.484375	228015.078125	213598.8125
A0A0B5EHW3	FAD-dependent oxidoreductase	240539.796875	286236.21875	368109.375	121076.9140625	79844.1953125	123507.359375	94080.6171875	114020.9765625	135678.578125	229330.3125	213770.96875	195193.828125	93970.171875	171289.34375	105384.0078125	86535.1796875	194331.296875	108314.078125	995395.0625	3445310.25	898727.6875	121580.578125	133782.65625	265398	314146.625	250087.234375	268125.125	107086.828125	162965.828125	382797.59375	463016.84375	279019.84375
A0A0B5EHX6	Acyl-CoA synthetase	69995.8515625	111897.90625	120423.5625	113764.28125	101917.53125	84872.1484375	99877.1171875	107358.8203125	96777.953125	182114.4375	136393.546875	169171.625	123869.140625	95257.265625	126254.1484375	142847.46875	216688.703125	106955.46875	60182.390625	387371.25	652.9671020507812	138266.5625	203228.953125	161666.421875	139383.890625	150475.421875	80331.34375	189668.625	175529.53125	186974.328125	133044.0625	103655.8515625
A0A0B5EHY3	Xanthine dehydrogenase	14873.1181640625	8943.7880859375	15667.1845703125	20705.357421875	9006.115234375	35850.796875	NaN	9808.525390625	NaN	26059.34375	22036.166015625	8290.6943359375	13148.021484375	14047.5244140625	12753.9931640625	2.384566068649292	1.3333923816680908	NaN	1.0401519536972046	4.40488338470459	5.617420673370361	39600.23828125	33371.5546875	54086.96875	28125.560546875	37829.46875	NaN	28513.677734375	26817.02734375	6832.04443359375	NaN	0.8650189638137817
A0A0B5EI03;A0A0B5EWK3	Cyclic dehypoxanthine futalosine synthase	746891.6875	449948.28125	539172.6875	432169.71875	259125.75	276958.71875	177482.234375	208616.078125	194493.015625	553321.125	467878.34375	606338.9375	351155.9375	256291.234375	296639.28125	183594.9375	159046.734375	231293.171875	917248.25	614151.6875	858456	274999.15625	90968	386553.46875	288785.21875	315769.6875	147132.953125	279654.375	290213.84375	332154.59375	304605.78125	283935.46875
A0A0B5EI04;A0A0B5EQK0	Type I polyketide synthase;Beta-ketoacyl synthase	9319.3671875	3906.057373046875	4434.630859375	75869.3828125	64278.88671875	22319.40234375	12126.564453125	20025.296875	4636.70263671875	13051.7470703125	7801.55078125	7279.1123046875	73598.953125	98834.1640625	173475.5625	4.922103404998779	3.1428897380828857	1.9283483028411865	2.735673666000366	7.1955647468566895	12.790088653564453	63797.82421875	43555.0703125	NaN	1.0520057678222656	7714.68505859375	13915.6201171875	51312.6796875	45731.76171875	NaN	138.22021484375	1.6007996797561646
A0A0B5EI08;A0A0B5EPS0;A0A0B5ET01;A0A0B5F805;H6D572;IJNMKNMH_13290	Nodular polyketide synthase;Modular polyketide synthase;Modular polyketide synthase;Acyl transferase;Modular polyketide synthase;	17276.0234375	78127.875	Filtered	NaN	9315.689453125	Filtered	Filtered	4404.822265625	Filtered	Filtered	4724.9501953125	Filtered	Filtered	16736.486328125	6223.41162109375	3.8417181968688965	Filtered	Filtered	5564.54541015625	Filtered	Filtered	Filtered	Filtered	1113.384033203125	Filtered	Filtered	31090.43359375	53352.8125	Filtered	1.4321637153625488	64278.72265625	Filtered
A0A0B5EI16	DNA topoisomerase (ATP-hydrolyzing)	489141.21875	303907.03125	387053.8125	443005.875	336319.125	272414	85589.3515625	79083.6015625	65624.4765625	374171.34375	309388.15625	381824.15625	282687.90625	298804.75	370291.78125	108359.34375	53979.13671875	74173.96875	581302.6875	1491892.375	1436149.375	369087.4375	357539.53125	155500.8125	163491.625	140590.546875	97901.59375	282533.84375	233712.984375	127289.75	116888.5703125	116603.90625
A0A0B5EI17	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	57103.49609375	138519.4375	152006.703125	95717.0546875	62783.60546875	76803.9296875	Filtered	15658.5556640625	Filtered	1029219.8125	1501580.875	885358.9375	449854.8125	883528.25	820942	435361.21875	306495.53125	411161.59375	53001.0546875	307638.5	49631.359375	100026.484375	83600.9140625	76757.546875	108638.3828125	114419.96875	662059.1875	330136.96875	235560.171875	107520.375	64459.88671875	96809.734375
A0A0B5EI23	Sporulation transcription factor, WhiH	108080.203125	NaN	0.7235754728317261	102785.796875	85861.1875	311106.625	442572.8125	472180.78125	464161.90625	2804.73193359375	5438.23681640625	4947.67626953125	76944.125	34107.75	107280.03125	100500.25	384690.40625	144789.953125	7.7522664070129395	507.32562255859375	432.77239990234375	97933.8671875	88470.328125	11127.640625	12848.2783203125	29609.982421875	166753.234375	91218.0078125	136796.375	22412.841796875	100531.84375	27201.529296875
A0A0B5EI34	Vitamin B12-dependent ribonucleotide reductase	2325291.75	866157.625	1237427.75	420267.0625	308851.84375	276865.09375	251789.609375	269841.71875	243223.25	1192792.375	1120785.875	1317882.875	327198.78125	300140.625	312252.625	242301.296875	161065.234375	296331.6875	1574547.125	320829.53125	633113.75	305342.53125	117084.703125	135327.0625	126325.125	142545.390625	219135.9375	160029.125	170534.265625	160628.625	182427.078125	212360.34375
A0A0B5EI38	Assimilatory sulfite reductase (ferredoxin)	404356.75	263541.5	312263.6875	459217.25	582523	363574.03125	421822.5625	296598.4375	315019.1875	439191.1875	424800.1875	492825.09375	509785.96875	460506.15625	532283.5625	5748.75537109375	375128.21875	245080.078125	227878.828125	346683.46875	91552.4921875	285034.3125	222144.8125	257766.078125	191767.890625	282852.03125	262345.75	243478.75	365972.09375	319947.15625	464357.75	532658.625
A0A0B5EI42	Sulfate adenylyltransferase	239744.265625	73985.140625	255943.921875	1118477.25	1406079.125	525805.5625	341414.34375	203849.234375	290071.46875	241260.796875	362119.125	542536.1875	1264659	919092.4375	803953.0625	444884.3125	352455.1875	576987.1875	197614.203125	Filtered	52669.66015625	242971.875	849987.5	313697.15625	297599	358896	787573.6875	636272.6875	281933.0625	365021.28125	955912.9375	1009222.375
